,IATA,ICAO,Airline,Call sign,Country,Comments
2891,,GJT,Gestión Aérea Ejecutiva,BANJET,Spain,
2892,,GHT,Ghadames Air Transport,,Libya,
2893,GH,GLP,Globus Airlines,GLOBUS,Russia,
2894,GH,GHA,Ghana Airways,GHANA,Ghana,defunct
2895,G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana,
2896,,NTC,Gibson Aviation,NIGHT CHASE,United States,
2897,,RPS,Global Air Charter,RESPONSE,United States,
2898,,GAG,Greybird Pilot Academy,GEEBIRD,Denmark,
2899,,GBS,Global Air Services Nigeria,GLOBAL SERVE,Nigeria,
2900,,GLC,Global Aircargo,,Bahrain,
2901,,,Global Airways (Turks and Caicos),,Turks and Caicos Islands,
2902,,BSP,Global Airways (BSP),,Democratic Republic of Congo,
2903,,GLB,Global Airways (GLB),GLO-AIR,United States,Air Castle Corporation
2904,,GBB,Global Aviation Operations,GLOBE,South Africa,
2905,,GAK,Global Aviation and Services Group,AVIAGROUP,Libya,
2906,,GGZ,Global Georgian Airways,GLOBAL GEORGIAN,Georgia,
2907,,GLJ,Global Jet Austria,GLOBAL AUSTRIA,Austria,
2908,,NSM,Global Jet Corporation,THUNDERCLOUD,United States,
2909,,SVW,Global Jet Luxembourg,SILVER ARROWS,Luxembourg,
2910,,GSK,Global Sky Aircharter,GLOBAL SKY,United States,
2911,,GSS,Global Supply Systems,JET LIFT,United Kingdom,
2912,,XGS,Global System,,United States,
2913,,XGW,Global Weather Dynamics,,United States,
2914,,GLW,Global Wings,,Japan,
2915,,GJA,Globe Jet,,Lebanon,
2916,G8,GOW,GoAir,GOAIR,India,
2917,GK,,Go One Airways,,United Kingdom,Defunct?
2918,G7,GJS,GoJet Airlines,LINDBERGH,United States,
2919,,GGE,Gobierno De Guinea Ecuatorial,,Equatorial Guinea,
2920,,GOF,Gof-Air,GOF-AIR,Mexico,
2921,,GOI,Gofir,SWISS HAWK,Switzerland,
2922,G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil,Brazilian low-cost airline.
2923,,GBT,Gold Belt Air Transport,GOLD BELT,Canada,defunct
2924,,GDA,GoldAir,AIR PARTNER,United Kingdom,
2925,,GDK,Goldeck-Flug,GOLDECK FLUG,Austria,
2926,DC,GAO,Golden Air,GOLDEN,Sweden,
2927,,GDD,Golden Airlines,GOLDEN AIRLINES,United States,
2928,,GPA,Golden Pacific Airlines,GOLDEN PAC,United States,
2929,,GRS,Golden Rule Airlines,GOLDEN RULE,Kyrgyzstan,
2930,,GLD,Golden Star Air Cargo,GOLDEN STAR,Sudan,
2931,,GOS,Goldfields Air Services,,Australia,
2932,,GAQ,Golfe Air Quebec,GOLFAIR,Canada,
2933,,GLE,Goliaf Air,GOLIAF AIR,São Tomé and Príncipe,
2934,,GOM,Gomel Airlines,GOMEL,Belarus,
2935,,RDR,Goodridge (UK) Limited,RED STAR,United Kingdom,
2936,G1,,Gorkha Airlines,GORKHA AIRLINES,Nepal,?ICAO
2937,,GOR,Gorlitsa Airlines,GORLITSA,Ukraine,
2938,,HKG,Government Flying Service,HONGKONG GOVERNMENT,Hong Kong SAR of China,
2939,,GRZ,Government of Zambia Communications Flight,COM FLIGHT,Zambia,
2940,,HLD,Grampian Flight Centre,GRANITE,United Kingdom,
2941,,GAV,Granada Aviación,GRANAVI,Spain,
2942,,GAE,Grand Aire Express,GRAND EXPRESS,United States,
2943,,GND,Grand Airways,GRAND VEGAS,United States,
2944,,CVU,Grand Canyon Airlines,CANYON VIEW,United States,
2945,GV,GUN,Grant Aviation,HOOT,United States,
2946,,LMK,Grantex Aviation,LANDMARK,United Kingdom,
2947,,GRA,Great American Airways,GREAT AMERICAN,United States,
2948,ZK,GLA,Great Lakes Airlines,LAKES AIR,United States,
2949,,GLU,Great Lakes Airways (Uganda),LAKES CARGO,Uganda,
2950,,GRP,Great Plains Airlines,GREAT PLAINS,United States,
2951,IJ,GWL,Great Wall Airlines,GREAT WALL,China,
2952,,GWA,Great Western Air,G-W AIR,United States,
2953,,HAF,Hellenic Air Force,HELLENIC AIR FORCE,Greece,
2954,,HNA,Greek Navy,HELLENIC NAVY,Greece,
2955,,GFF,Griffin Aviation,GRIFFIN AIR,Cyprus,
2956,,GXA,Grixona,GRIXONA,Moldova,
2957,,GZD,Grizodubova Air Company,GRIZODUBOVA AIR,Russia,
2958,,HTG,Grossmann Air Service,GROSSMANN,Austria,
2959,,GSJ,Grossmann Jet Service,GROSSJET,Czech Republic,
2960,,GHV,Ground Handling Service de Mexico,GROUND HANDLING,Mexico,
2961,,GPM,Grup Air-Med,GRUPOMED,Spain,
2962,,EJC,Grupo De Aviación Ejecutiva,GRUPOEJECUTIVA,Mexico,
2963,,TAT,Grupo TACA,TACA-COSTARICA,Costa Rica,
2964,,VMM,Grupo Vuelos Mediterraneo,VUELOS MED,Spain,
2965,,GMT,Grupo Aéreo Monterrey,GRUPOMONTERREY,Mexico,
2966,,GSY,Guard Systems,GUARD AIR,Norway,
2967,G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau,
2968,,GIJ,Guinea Airways,GUINEA AIRWAYS,Guinea,
2969,,GNC,Guinea Cargo,GUINEA CARGO,Equatorial Guinea,
2970,J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea,defunct
2971,,GEA,Guinea Ecuatorial Airlines,GEASA,Equatorial Guinea,
2972,,GIQ,Guinee Paramount Airlines,GUIPAR,Guinea,
2973,,CGH,Guizhou Airlines,GUIZHOU,China,
2974,,GUS,Guja,GUJA,Mexico,
2975,G8,GUJ,Gujarat Airways,GUJARATAIR,India,
2976,,TSU,Gulf & Caribbean Cargo / Contract Air Cargo,TRANSAUTO,United States,
2977,,GUF,Gulf African Airlines,GULF AFRICAN,The Gambia,
2978,,GFA,Gulf Air,GULF AIR,Oman,
2979,GF,GBA,Gulf Air Bahrain,GULF BAHRAIN,Bahrain,
2980,,GAT,Gulf Air Inc,GULF TRANS,United States,
2981,,GCN,Gulf Central Airlines,GULF CENTRAL,United States,
2982,,SFY,Gulf Flite Center,SKY FLITE,United States,
2983,,GPC,Gulf Pearl Air Lines,AIR GULFPEARL,Libya,
2984,,GLF,Gulfstream Aerospace,GULFSTREAM TEST,United States,
2985,,GFS,Gulfstream Airlines,GULFSTAR,United States,
2986,,GFT,Gulfstream International Airlines,GULF FLIGHT,United States,
2987,,GUL,Gull Air,GULL-AIR,United States,
2988,,GUM,Gum Air,GUM AIR,Suriname,
2989,,GDH,Guneydogu Havacilik Isletmesi,RISING SUN,Turkey,
2990,GY,,Guyana Airways 2000,,,
2991,,GWN,Gwyn Aviation,GWYN,United Kingdom,
2992,,GAC,GlobeAir,DREAM TEAM,Austria,
2993,3S,GUY,Air Guyane Express,GREEN BIRD,French Guyana,"

"
2994,,HTB,Helix-Craft Aviation,HELIX-CRAFT,Panama,2014[2]
2995,,HCK,Heli-Charter,HELI-CHARTER,United Kingdom,
2996,,MML,Hunnu Air,TRANS MONGOLIA,Mongolia,
2997,,HAY,Hamburg Airways,HAMBURG AIRWAYS,Germany,
2998,,HSN,"H.S.AVIATION CO., LTD.",H.S.AVIATION,Thailand,
2999,,HRN,Heron Luftfahrt,HERONAIR,Germany,
3000,,HYP,Hyperion Aviation,HYPERION,Malta,
3001,,HFM,Hi Fly Malta,MOONRAKER,Malta,
3002,A5,HOP,Hop!,AIR HOP,France,
3003,,HLA,HC Airlines,HEAVYLIFT,United Kingdom,
3004,,HWD,HPM Investments,FLITEWISE,United Kingdom,
3005,,KTR,HT Helikoptertransport,COPTER TRANS,Sweden,
3006,,AHT,HTA Helicopteros,HELIAPRA,Portugal,
3007,,,Hacienda Airlines,,United States,"defunct - 1957 to July 10, 1962"
3008,,FMS,Hadison Aviation,HADI,United States,
3009,H6,HAG,Hageland Aviation Services,HAGELAND,United States,
3010,,POW,Hagondale Limited,AIRNET,United Kingdom,
3011,HR,HHN,Hahn Air,ROOSTER,Germany,
3012,H1,,Hahn Air Systems,,Germany,
3013,HU,CHH,Hainan Airlines,HAINAN,China,
3014,1R,,Hainan Phoenix Information Systems,,China,
3015,,HLS,Haiti Air Freight,,Haiti,
3016,2T,HAM,Haiti Ambassador Airlines,,Haiti,
3017,,HTI,Haiti International Air,HAITI INTERNATIONAL,Haiti,
3018,,HRB,Haiti International Airline,HAITI AIRLINE,Haiti,
3019,,HNR,Haiti National Airlines (HANA),HANAIR,Haiti,
3020,,HTN,Haiti North Airline,,Haiti,
3021,,HTC,Haiti Trans Air,HAITI TRANSAIR,Haiti,
3022,,HBC,Haitian Aviation Line,HALISA,Haiti,
3023,,HAJ,Hajvairy Airlines,HAJVAIRY,Pakistan,
3024,,HKL,Hak Air,HAK AIRLINE,Nigeria,
3025,,HLH,Hala Air,HALA AIR,Sudan,
3026,,HCV,Halcyonair,CREOLE,Cape Verde,
3027,4R,HHI,Hamburg International,HAMBURG JET,Germany,
3028,,HJL,Hamlin Jet,BIZJET,United Kingdom,
3029,,HMM,Hamra Air,HAMRA,United Arab Emirates,
3030,,WVA,Hand D Aviation,WABASH VALLEY,United States,
3031,,HGR,Hangar 8,HANG,United Kingdom,
3032,,HGD,Hangard Aviation,HANGARD,Mongolia,
3033,,HAN,Hansung Airlines,HANSUNG AIR,Republic of Korea,
3034,X3,HLX,Hapag-Lloyd Express (TUIfly),YELLOW CAB,Germany,
3035,HF,HLF,Hapagfly,HAPAG LLOYD,Germany,TUIfly
3036,HB,HAR,Harbor Airlines,HARBOR,United States,
3037,HQ,HMY,Harmony Airways,HARMONY,Canada,
3038,,NBR,Haughey Air,NORBROOK,United Kingdom,
3039,,PYN,Haverfordwest Air Charter Services,POYSTON,United Kingdom,
3040,,HAV,Havilah Air Services,HAVILAH,Nigeria,
3041,HA,HAL,Hawaiian Airlines,HAWAIIAN,United States,
3042,HP,,Hawaiian Pacific Airlines,,United States,defunct
3043,,HKR,Hawk Air,AIR HAW,Argentina,
3044,,HMX,Hawk De Mexico,HAWK MEXICO,Mexico,
3045,BH,,Hawkair,,Canada,
3046,,HKI,Hawkaire,HAWKEYE,United States,
3047,,HZL,Hazelton Airlines,HAZELTON,Australia,Defunct.
3048,HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia,
3049,,HVL,Heavylift International,HEAVYLIFT INTERNATIONAL,United Arab Emirates,
3050,,HDC,Helcopteros De Cataluna,HELICATALUNA,Spain,
3051,,HCB,Helenair (Barbados),HELEN,Barbados,
3052,,HCL,Helenair Corporation,HELENCORP,Saint Lucia,
3053,,HHP,Helenia Helicopter Service,HELENIA,Denmark,
3054,,HLR,Heli Air Services,HELI BULGARIA,Bulgaria,
3055,,ALJ,Heli Ambulance Team,ALPIN HELI,Austria,
3056,,HEB,Heli Bernina,HELIBERNINA,Switzerland,
3057,,HFR,Heli France,HELIFRANCE,France,
3058,,HYH,Heli Hungary,HELIHUNGARY,Hungary,
3059,,HLM,Heli Medwest De Mexico,HELIMIDWEST,Mexico,
3060,,HLI,Heli Securite,HELI SAINT-TROPEZ,France,
3061,,HTP,Heli Trip,HELI TRIP,Mexico,
3062,,HLU,Heli Union Heli Prestations,HELI UNION,France,
3063,,MCM,Heli-Air-Monaco,HELI AIR,Monaco,
3064,,HHE,Heli-Holland,HELI HOLLAND,Netherlands,
3065,,HRA,Heli-Iberica,ERICA,Spain,
3066,,HIF,Heli-Iberica Fotogrametria,HIFSA,Spain,
3067,,HIG,Heli-Inter Guyane,INTER GUYANNE,France,
3068,,HLK,Heli-Link,HELI-LINK,Switzerland,
3069,,HMC,Heliamerica De Mexico,HELIAMERICA,Mexico,
3070,,HEA,Heliavia-Transporte Aéreo,HELIAVIA,Portugal,
3071,,CDY,Heliaviation Limited,CADDY,United Kingdom,
3072,,HIB,Helibravo Aviacao,HELIBRAVO,Portugal,
3073,,HLC,Helicap,HELICAP,France,
3074,,COV,Helicentre Coventry,HELICENTRE,United Kingdom,
3075,,HEL,Helicol,HELICOL,Colombia,
3076,,HCP,Helicopter,HELI CZECH,Czech Republic,
3077,,JKY,Helicopter & Aviation Services,JOCKEY,United Kingdom,
3078,,MVK,Helicopter Training & Hire,MAVRIK,United Kingdom,
3079,,HAP,Helicopteros Aero Personal,HELIPERSONAL,Mexico,
3080,,HAA,Helicopteros Agroforestal,AGROFORESTAL,Chile,
3081,,HNT,Helicopteros Internacionales,HELICOP INTER,Mexico,
3082,,HEN,Helicópteros Y Vehículos Nacionales Aéreos,HELINAC,Mexico,
3083,,HHH,Helicsa,HELICSA,Spain,
3084,JB,JBA,Helijet,HELIJET,Canada,
3085,,HDR,Helikopterdrift,HELIDRIFT,Norway,
3086,,SCO,Helikopterservice Euro Air,SWEDCOPTER,Sweden,
3087,,OCE,Heliocean,HELIOCEAN,France,
3088,ZU,HCY,Helios Airways,HELIOS,Cyprus,
3089,,HLP,Helipistas,HELIPISTAS,Spain,
3090,,HPL,Heliportugal,HELIPORTUGAL,Portugal,
3091,,HEC,Heliservicio Campeche,HELICAMPECHE,Mexico,
3092,,HSU,Helisul,HELIS,Portugal,
3093,,HSI,Heliswiss,HELISWISS,Switzerland,
3094,,HLT,Helitafe,HELITAFE,Mexico,
3095,,HIT,Helitalia,HELITALIA,Italy,
3096,,OFA,Helitaxi Ofavi,OFAVI,Mexico,
3097,,HLT,Helitours,HELITOURS,Sri Lanka,
3098,9I,HTA,Helitrans,SCANBIRD,Norway,
3099,,HTS,Helitrans Air Service,HELITRANS,United States,
3100,,HLW,Heliworks,HELIWORKS,Chile,
3101,HJ,HEJ,Hellas Jet,HELLAS JET,Greece,ceased operation in 2010
3102,HW,FHE,Hello,FLYHELLO,Switzerland,
3103,,HLG,Helog,HELOG,Switzerland,
3104,2L,OAW,Helvetic Airways,HELVETIC,Switzerland,
3105,,HMS,Hemus Air,HEMUS AIR,Bulgaria,
3106,,HAC,Henebury Aviation,,Australia,
3107,,SSH,Heritage Flight (Valley Air Services),SNOWSHOE,United States,
3108,,MRX,Herman's Markair Express,SPEEDMARK,United States,
3109,,HED,Heritage Aviation Developments,FLAPJACK,United Kingdom,
3110,EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,
3111,UD,HER,Hex'Air,HEX AIRLINE,France,
3112,,HHS,Hi-Jet Helicopter Services,HIJET,Suriname,
3113,5K,HFY,Hi Fly,SKY FLYER,Portugal,
3114,,HLB,High-Line Airways,HIGH-LINE,Canada,
3115,,HWY,Highland Airways,HIWAY,United Kingdom,
3116,,HSH,Hispánica de Aviación,HASA,Spain,
3117,,HIS,Hispaniola Airways,HISPANIOLA,Dominican Republic,
3118,,HGA,Hogan Air,HOGAN AIR,United States,
3119,,NTH,Hokkaido Air System,NORTH AIR,Japan,
3120,,ABH,Hokuriki-Koukuu Company,,Japan,
3121,H5,HOA,Hola Airlines,HOLA,Spain,
3122,,HIN,Holding International Group,HOLDING GROUP,Mexico,
3123,,HOL,Holiday Airlines,HOLIDAY,United States,
3124,HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic,
3125,,HTR,Holstenair Lubeck,HOLSTEN,Germany,
3126,,HMV,Homac Aviation,HOMAC,Luxembourg,
3127,,HAS,Honduras Airlines,HONDURAS AIR,Honduras,
3128,HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong,
3129,RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong,
3130,UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong,
3131,A6,HTU,Hongtu Airlines,HONGLAND,China,
3132,,HEX,Honiara Cargo Express,HONIARA CARGO,Solomon Islands,
3133,,HPJ,Hop-A-Jet,HOPA-JET,United States,
3134,HH,,Hope Air,HOPE AIR,Canada,
3135,QX,QXE,Horizon Air,HORIZON AIR,United States,
3136,,KOK,Horizon Air Service,KOKO,United States,
3137,,HSM,Horizon Air for Transport and Training,ALOFUKAIR,Libya,
3138,,HOR,Horizon Air-Taxi,HORIZON,Switzerland,
3139,BN,HZA,Horizon Airlines,HORIZON,Australia,defunct
3140,,HPS,Horizon Plus,HORIZON PLUS,Bangladesh,
3141,,HUD,Horizons Unlimited,HUD,United States,
3142,,HOZ,Horizontes Aéreos,HORIZONTES AEREOS,Mexico,
3143,,HDI,Hoteles Dinamicos,DINAMICOS,Mexico,
3144,,HHO,Houston Helicopters,HOUSTON HELI,United States,
3145,,GGV,Houston Jet Services,GREGG AIR,Austria,
3146,,OZU,Hozu-Avia,HOZAVIA,Kazakhstan,
3147,,HUB,Hub Airlines,HUB,United States,
3148,,HUS,Huessler Air Service,HUESSLER,United States,
3149,,GMH,Hughes Aircraft Company,HUGHES EXPRESS,United States,
3150,,WHR,Hummingbird Helicopter Service,WHIRLEYBIRD,United States,
3151,,HUV,Hunair Hungarian Airlines,SILVER EAGLE,Hungary,
3152,,HUF,Hungarian Air Force,HUNGARIAN AIRFORCE,Hungary,
3153,,HYA,Hyack Air,HYACK,Canada,
3154,,HYC,Hydro Air Flight Operations,HYDRO CARGO,South Africa,
3155,,HYD,Hydro-Québec,HYDRO,Canada,
3156,H4,,Héli Sécurité Helicopter Airlines,,France,
3157,,HKB,Hawker Beechcraft,CLASSIC,United States,
3158,,ETI,H-Bird Aviation Services AB,JETHAWK,Sweden,"

"
3159,,IJW,Interjet Inc.,JET WEST,United States,2015[1]
3160,,IIC,Inter Island Air Charter,,Bahamas,2014[2]
3161,,EXP,Island Air Express,ISLAND EXPRESS,United States,2014[2]
3162,,IWL,Island Wings,,Bahamas,2014[2]
3163,IK,KAR,Ikar,IKAR,Russian Federation,
3164,,ICN,Iconair,,Pakistan,
3165,,IAC,Interaviation Charter,INTERCHARTER,Romania,
3166,,IFM,Ifly,ICOPTER,Greece,
3167,,ITC,International Air Carrier Association,,Belgium,
3168,II,CSQ,IBC Airways,CHASQUI,United States,
3169,0C,IBL,IBL Aviation,CATOVAIR,Mauritius,
3170,,BBL,IBM Euroflight Operations,BLUE,Switzerland,
3171,,YYY,ICAO,,,Used by airlines without a specific code
3172,C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine,
3173,,CIC,ICC Canada,AIR TRADER,Canada,
3174,,IDG,IDG Technology Air,INDIGO,Czech Republic,
3175,,IFL,IFL Group,EIFEL,United States,
3176,,RDE,II Lione Alato Arl,FLIGHT RED,United Kingdom,
3177,,IJM,IJM International Jet Management,JET MANAGEMENT,Austria,
3178,,IKK,IKI International Airlines,IKIAIR,Japan,
3179,,IKN,IKON FTO,IKON,Germany,
3180,,BLU,IMP Aviation Services,BLUENOSE,Canada,
3181,,XGG,IMP Group Aviation Services,,Canada,
3182,1F,,INFINI Travel Information,,Japan,Computer Reservation System
3183,,IPA,IPEC Aviation,IPEC,Australia,
3184,,IPM,IPM Europe,SHIPEX,United Kingdom,
3185,,LVB,IRS Airlines,SILVERBIRD,Nigeria,
3186,,ISD,ISD Avia,ISDAVIA,Ukraine,
3187,1U,,ITA Software,,United States,Computer reservation system
3188,,FDF,IVV Femida,,Russia,
3189,IB,IBE,Iberia Airlines,IBERIA,Spain,
3190,I2,IBS,Iberia Express,IBEREXPRESS,Spain,"Charter service, low cost carrier for EU flights of Iberia operating only A320's"
3191,,IBR,Ibertour Servicios Aéreos,IBERTOUR,Spain,
3192,,IBT,Ibertrans Aérea,IBERTRANS,Spain,
3193,TY,IWD,Iberworld,IBERWORLD,Spain,
3194,FW,IBX,Ibex Airlines,IBEX,Japan,
3195,,IBC,Ibicenca Air,IBICENCA,Spain,
3196,,AKI,Ibk-Petra, ,Sudan,
3197,,RAC,Icar Air,TUZLA AIR,Bosnia and Herzegovina,
3198,,FRC,Icare Franche Compte,FRANCHE COMPTE,France,
3199,D8,IBK,Norwegian Air International (Norway),Norwegian,Norway,
3200,,,,,,
3201,,ICD,Icaro Air,ICARO,Ecuador,Defunct 2011
3202,,ICA,Icaro,ICARFLY,Italy,
3203,,IUS,Icarus,ICARUS,Italy,
3204,,ICJ,Icejet,ICEJET,Iceland,
3205,FI,ICE,Icelandair,ICEAIR,Iceland,
3206,,ICG,Icelandic Coast Guard,ICELAND COAST,Iceland,
3207,,IKR,Ikaros DK,IKAROS,Denmark,
3208,,CIO,Il Ciocco International Travel Service,CIOCCO,Italy,
3209,,ILV,Il-Avia,ILAVIA,Russia,
3210,,IDL,Ildefonso Redriguez,ILDEFONSO,Mexico,
3211,V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States,
3212,,ILP,Ilpo Aruba Cargo,,Aruba,
3213,,ILL,Ilyich-Avia,ILYICHAVIA,Ukraine,
3214,,IMR,Imaer,IMAER,Portugal,
3215,,ITX,Imair Airlines,IMPROTEX,Azerbaijan,
3216,,PNX,Imperial Airways,PHOENIX,United States,"ICAO code in use by another company, call sign no longer allocated"
3217,,IMT,Imtrec Aviation,IMTREC,Cambodia,
3218,DH,IDE,Independence Air,INDEPENDENCE AIR,United States,defunct
3219,,IDP,Independent Air Freighters,INDEPENDENT,Australia,
3220,6E,IGO,IndiGo Airlines,IFLY,India,Interglobe Aviation
3221,,IIL,India International Airways,INDIA INTER,India,
3222,,IFC,Indian Air Force,INDIAN AIRFORCE,India,
3223,IC,IAC,Indian Airlines,INDAIR,India,
3224,,IDR,Indicator Company,INDICATOR,Hungary,
3225,I9,IBU,Indigo Airlines,INDIGO BLUE,United States,
3226,,IDA,Indonesia Air Transport,INTRA,Indonesia,
3227,QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia,
3228,IO,IAA,Indonesian Airlines,INDO LINES,Indonesia,
3229,,IPN,Industri Pesawat Terbang Nusantara,NUSANTARA,Indonesia,
3230,,ITN,Industrias Titan,TITANLUX,Spain,
3231,,FFI,Infinit Air,INFINIT,Spain,
3232,C4,IMX,Zimex Aviation,ZIMEX,Switzerland,
3233,,INS,Inflite The Jet Centre,,United Kingdom,
3234,,IVA,Innotech Aviation,INNOTECH,Canada,
3235,,INC,Insel Air International,INSELAIR,Netherlands Antilles,
3236,,ICC,Institut Cartogràfic de Catalunya,CARTO,Spain,
3237,,INT,Intair,INTAIRCO,Canada,
3238,,INL,Intal Avia,INTAL AVIA,Kyrgyzstan,
3239,,FFL,Intavia Limited,,United Kingdom,
3240,,XRA,Intensive Air,INTENSIVE,South Africa,
3241,,ITW,Inter Air,INTER WINGS,Bulgaria,
3242,,INX,Inter Express,INTER-EURO,Turkey,
3243,H4,IIN,Inter Island Airways,,Cape Verde,
3244,,CAR,Inter RCA,QUEBEC ROMEO,Central African Republic,
3245,,NTT,Inter Tropic Airlines,INTER-TROPIC,Sierra Leone,
3246,,ITA,Inter-Air,CAFEX,United States,
3247,,ICN,Inter-Canadian,INTER-CANADIAN,Canada,
3248,,UGL,Inter-Island Air,UGLY VAN,United States,
3249,,IMA,Inter-Mountain Airways,INTER-MOUNTAIN,United States,
3250,,ITS,Inter-State Aviation,INTER-STATE,United States,
3251,D6,ILN,Interair South Africa,INLINE,South Africa,
3252,,NTE,Interaire,INTERMEX,Mexico,
3253,ZA,SUW,Interavia Airlines,ASTAIR,Russia,
3254,,IVT,Interaviatrans,INTERAVIA,Ukraine,
3255,RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia,
3256,,ICP,Intercopters,CHOPER,Spain,
3257,,IFT,Interflight,INTERFLIGHT,United Kingdom,
3258,,IJT,Interflight (Learjet),,United Kingdom,
3259,,RFL,Interfly,INFLY,Italy,
3260,,IFF,Interfreight Forwarding,INTERFREIGHT,Sudan,
3261,,IGN,Interguide Air,DIVINE AIR,Nigeria,
3262,,ISN,Interisland Airlines,TRI-BIRD,Philippines,
3263,,IWY,Interisland Airways Limited,ISLANDWAYS,Turks and Caicos Islands,Name changed to Air Turks and Caicos
3264,,MTF,Interjet,INTERJET,Italy,
3265,,IHE,Interjet Helicopters,INTERCOPTER,Greece,
3266,ID,ITK,Interlink Airlines,INTERLINK,South Africa,
3267,,IAK,International Air Cargo Corporation,AIR CARGO EGYPT,Egypt,
3268,,EXX,International Air Corporation,EXPRESS INTERNATIONAL,United States,
3269,,IAS,International Air Service,STARFLEET,United States,
3270,,IAX,International Air Services,INTERAIR SERVICES,Liberia,
3271,6I,IBZ,International Business Air,INTERBIZ,Sweden,was U5
3272,,IBY,International Business Aircraft,CENTRAL STAGE,United States,
3273,,ICS,International Charter Services,INTERSERVI,Mexico,
3274,,ICX,International Charter Xpress,INTEX,United States,Defunct 1994
3275,,RED,International Committee of the Red Cross,RED CROSS,Switzerland,
3276,,IIG,"International Company for Transport, Trade and Public Works",ALDAWLYH AIR,Libya,
3277,,IFX,International Flight Training Academy,IFTA,United States,
3278,,IJA,International Jet Aviation Services,I-JET,United States,
3279,,HSP,International Jet Charter,HOSPITAL,United States,The Flying Hospital
3280,,RSQ,International SOS WIndhoek,SKYMEDIC,Namibia,
3281,,ISF,International Stabilisation Assistance Force,,United Kingdom,
3282,,THN,International Security Assistance Force,ATHENA,Canada,
3283,,ITH,International Trans-Air,INTRANS NIGERIA,Nigeria,
3284,,IPT,Interport Corporation,INTERPORT,United States,
3285,,IKY,Intersky Bulgary,GENERAL SKY,Bulgaria,
3286,3L,ISK,Intersky,INTERSKY,Austria,
3287,I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands,Defunct
3288,,ITU,Intervuelos,INTERLOS,Mexico,
3289,,INV,Inversija,INVER,Latvia,
3290,,IND,Iona National Airways,IONA,Ireland,
3291,,IOA,Iowa Airways,IOWA AIR,United States,
3292,IR,IRA,Iran Air,IRANAIR,Iran,Was B9
3293,EP,IRC,Iran Aseman Airlines,ASEMAN,Iran,
3294,,IRB,Iranair Tours,,Iran,
3295,,IRG,Iranian Naft Airlines,NAFT,Iran,
3296,IA,IAW,Iraqi Airways,IRAQI,Iraq,
3297,,BIS,Irbis Air,IRBIS,Kazakhstan,
3298,,IRL,Irish Air Corps,IRISH,Ireland,
3299,,RDK,Irish Air Transport,IRISH TRANS,Ireland,
3300,,XMR,Irish Aviation Authority,AUTHORITY,Ireland,
3301,IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan,Old IATA code: IT; old ICAO code: IRT
3302,,KCE,Irving Oil,KACEY,Canada,
3303,,ISI,Island Air,ISLANDMEX,Mexico,
3304,,ILF,Island Air Charters,ISLAND FLIGHT,United States,
3305,,XYZ,Island Air Express,RAINBIRD,United States,
3306,,ISA,Island Airlines,,United States,
3307,,SOY,Island Aviation,SORIANO,Philippines,
3308,,DQA,Island Aviation Services,,Maldives,
3309,,IOM,Island Aviation and Travel,ISLE AVIA,United Kingdom,
3310,2S,SDY,Island Express,SANDY ISLE,United States,
3311,,MTP,Island Helicopters,METROCOPTER,United States,
3312,,ILC,ILAS Air,,Japan,
3313,,IAJ,Islandair Jersey,JARLAND,United Kingdom,
3314,CN,,Islands Nationair,,Papua New Guinea,
3315,,ICB,Icebird Airline,ICEBIRD,Iceland,
3316,IF,ISW,Islas Airways,PINTADERA,Spain,
3317,,IGS,Isle Grande Flying School,ISLA GRANDE,United States,
3318,WC,ISV,Islena De Inversiones,,Honduras,
3319,,IOS,Isles of Scilly Skybus,SCILLONIA,United Kingdom,
3320,,IAI,Israel Aircraft Industries,ISRAEL AIRCRAFT,Israel,
3321,,IAF,Israeli Air Force,,Israel,
3322,6H,ISR,Israir,ISRAIR,Israel,
3323,,IST,Istanbul Airlines,ISTANBUL,Turkey,
3324,FS,ACL,Itali Airlines,SPADA,Italy,Former name: Transporti Aerei Italiani; former IATA Code: 9X*; former ICAO code: ACO
3325,,IFS,Italy First,RIVIERA,Italy,
3326,GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan,?ICAO confirmed; IATA not
3327,,IVS,Ivoire Aero Services,IVOIRE AERO,Ivory Coast,
3328,,IVW,Ivoire Airways,IVOIRAIRWAYS,Ivory Coast,
