,IATA,ICAO,Airline,Call sign,Country,Comments
1785,,AWX,Civil Aviation Authority Directorate of Airspace Policy,ALLWEATHER,United Kingdom,
1786,,BBN,Civil Aviation Authority Airworthiness Division,BRABAZON,United Kingdom,
1787,,ATQ,CHC Helicopters Nigeria,COLIBRI,Nigeria,
1788,,APL,Corporativo Aereo Principal,AEREO PRINCIPAL,Mexico,
1789,,AIO,"Chief of Staff, United States Air Force",AIR CHIEF,United States,
1790,,AID,Christian Konig - Century Airbirds,CENTURY AIRBIRD,Austria,
1791,,,Cambridge Recurrent Training,CAMBRIDGE,United Kingdom,
1792,,,California Department of Forestry and Fire Protection,CALFIRE,United States,
1793,,,Careflight Queensland,SAMARITAN,Australia,
1794,7N,PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic,
1795,,,Castle Air Charter,CASTLEFILM,United Kingdom,
1796,,,Challenges Aviation,TIGER,United Kingdom,
1797,,,Challenges Limited,HERITAGE,United Kingdom,
1798,,,Cheqair,ASTON,United Kingdom,
1799,,,Clacton Aero Club,CLASSIC WINGS,United Kingdom,
1800,,,Coral Sun Airways,CORAL SUN,Kirbati,
1801,,,Cowan Group,COWAN,United States,
1802,,SMW,Carpatair Flight Service,SMART WINGS,Romania,Was Carpatair Flight Training
1803,,CCL,Cambodia Airlines,ANGKOR WAT,Cambodia,
1804,,CCB,Caricom Airways,DOLPHIN,Barbados,
1805,,CYH,China Southern Airlines Henan,YUHAO,China,
1806,,CFB,Chongqing Forebase General Aviation,FOREBASE,China,
1807,,XCA,Colt Transportes Aereos,COLT,Brazil,
1808,,GCY,CHC Global Operations International,HELIBIRD,United Kingdom,
1809,,TIP,C and M Aviation,TRANSPAC,United States,
1810,,SRJ,C Air Jet Airlines,SYRJET,Syrian Arab Republic,
1811,,ORO,C N Air,CAPRI,Spain,
1812,,RWG,C&M Airways,RED WING,United States,
1813,,RMU,"C.S.P., Societe",AIR-MAUR,Mauritania,
1814,,CJZ,Caliber Jet,CALIBER JET,United States,
1815,,CRC,Cameroon Airlines Corporation,CAMAIRCO,Cameroon,
